run_id,bin,bin_centre,confidence,observed,count,arch,dataset,label_mode,policy,size,finetune,loss,train_size,seed,orientation_pooled,pretrained
cnn_small_soft_d4_s128_full_bce_nfull_seed0,14,0.9666666666666667,0.9687944178048447,1.0,2139,cnn_small,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_small_soft_d4_s64_full_bce_nfull_seed0,0,0.03333333333333333,0.057523086713016584,0.0,2594,cnn_small,gz2,soft,d4,64,full,bce,0,0,False,True
cnn_small_soft_d4_s64_full_bce_nfull_seed0,1,0.1,0.09442400168778615,0.0,15284,cnn_small,gz2,soft,d4,64,full,bce,0,0,False,True
cnn_small_soft_d4_s64_full_bce_nfull_seed0,2,0.16666666666666669,0.1638326436500762,0.0019294860550780565,5701,cnn_small,gz2,soft,d4,64,full,bce,0,0,False,True
cnn_small_soft_d4_s64_full_bce_nfull_seed0,3,0.23333333333333334,0.2316414797973069,0.01732196865548529,3637,cnn_small,gz2,soft,d4,64,full,bce,0,0,False,True
cnn_small_soft_d4_s64_full_bce_nfull_seed0,4,0.3,0.2980758236606873,0.0563329745245784,2787,cnn_small,gz2,soft,d4,64,full,bce,0,0,False,True
cnn_small_soft_d4_s64_full_bce_nfull_seed0,5,0.3666666666666667,0.3662587044229878,0.14096539940196498,2341,cnn_small,gz2,soft,d4,64,full,bce,0,0,False,True
cnn_small_soft_d4_s64_full_bce_nfull_seed0,6,0.43333333333333335,0.43300620860345457,0.2795216741405082,2007,cnn_small,gz2,soft,d4,64,full,bce,0,0,False,True
cnn_small_soft_d4_s64_full_bce_nfull_seed0,7,0.5,0.5002726578905272,0.45733407696597883,1793,cnn_small,gz2,soft,d4,64,full,bce,0,0,False,True
cnn_small_soft_d4_s64_full_bce_nfull_seed0,8,0.5666666666666667,0.5667476324010486,0.6505312868949232,1694,cnn_small,gz2,soft,d4,64,full,bce,0,0,False,True
cnn_small_soft_d4_s64_full_bce_nfull_seed0,9,0.6333333333333333,0.6336172864874716,0.8084714548802947,1629,cnn_small,gz2,soft,d4,64,full,bce,0,0,False,True
